"estimate","low_ci","high_ci","year","lat_bin","lon_bin","scientificName"
206.5,190.5,214,2017,41.5,-81.5,"Epargyreus clarus"
208,166,215,2014,38.5,-77.5,"Epargyreus clarus"
216,142,222,2016,38.5,-77.5,"Epargyreus clarus"
204,171,210,2017,38.5,-77.5,"Epargyreus clarus"
167.5,142,179.5,2015,41.5,-93.5,"Vanessa atalanta"
179,127,229,2016,41.5,-93.5,"Vanessa atalanta"
124,107,178,2017,41.5,-93.5,"Vanessa atalanta"
214.5,147.5,253,2018,41.5,-93.5,"Vanessa atalanta"
161,103,175,2017,41.5,-88.5,"Vanessa atalanta"
192.5,171,203.5,2018,41.5,-88.5,"Vanessa atalanta"
184,139.064399705923,184,2015,41.5,-87.5,"Vanessa atalanta"
183,147,191,2016,41.5,-87.5,"Vanessa atalanta"
175,116,178,2017,41.5,-87.5,"Vanessa atalanta"
191,185,197,2018,41.5,-87.5,"Vanessa atalanta"
190,172,192,2015,39.5,-84.5,"Vanessa atalanta"
163,115,189,2016,39.5,-84.5,"Vanessa atalanta"
166,144,181,2017,39.5,-84.5,"Vanessa atalanta"
148,99,149,2017,40.5,-83.5,"Vanessa atalanta"
182,152,190,2017,41.5,-83.5,"Vanessa atalanta"
182,153.5,183.5,2015,41.5,-81.5,"Vanessa atalanta"
141,118,141,2016,41.5,-81.5,"Vanessa atalanta"
163.5,127,192,2017,41.5,-81.5,"Vanessa atalanta"
201,179,206,2015,38.5,-77.5,"Vanessa atalanta"
231,215.5,247,2015,41.5,-93.5,"Junonia coenia"
233,216,248.5,2016,41.5,-93.5,"Junonia coenia"
201,190,219,2017,41.5,-93.5,"Junonia coenia"
249,213,291,2017,38.5,-90.5,"Junonia coenia"
246,241.5,250,2018,38.5,-90.5,"Junonia coenia"
254,245,259,2016,41.5,-87.5,"Junonia coenia"
211,199,217,2017,41.5,-87.5,"Junonia coenia"
242.5,228,247,2018,41.5,-87.5,"Junonia coenia"
275.5,255,288.5,2016,39.5,-84.5,"Junonia coenia"
248.5,230,266.5,2017,39.5,-84.5,"Junonia coenia"
275,255,285,2017,41.5,-81.5,"Junonia coenia"
279,261,295,2016,38.5,-77.5,"Junonia coenia"
276,247,291,2017,38.5,-77.5,"Junonia coenia"
226,211,247,2015,41.5,-93.5,"Colias eurytheme"
219,189,228,2016,41.5,-93.5,"Colias eurytheme"
236,208,250,2017,41.5,-93.5,"Colias eurytheme"
211.5,196,225.5,2018,41.5,-93.5,"Colias eurytheme"
255,247,264.5,2016,39.5,-84.5,"Colias eurytheme"
203,181,217,2017,39.5,-84.5,"Colias eurytheme"
253,210.5,259,2017,41.5,-83.5,"Colias eurytheme"
275,239,276,2016,41.5,-81.5,"Colias eurytheme"
266,258,283,2017,41.5,-81.5,"Colias eurytheme"
252,222,267,2016,38.5,-77.5,"Colias eurytheme"
200,108,246,2017,38.5,-77.5,"Colias eurytheme"
238.5,206.5,262,2018,38.5,-90.5,"Papilio polyxenes"
195,188,217,2018,41.5,-88.5,"Papilio polyxenes"
239,225,245,2016,41.5,-87.5,"Papilio polyxenes"
202.5,192,208,2017,41.5,-87.5,"Papilio polyxenes"
216,199,223,2018,41.5,-87.5,"Papilio polyxenes"
248.5,237,254,2016,39.5,-84.5,"Papilio polyxenes"
185.5,167,202.5,2017,39.5,-84.5,"Papilio polyxenes"
235,201,243,2015,41.5,-81.5,"Papilio polyxenes"
211.5,157,227,2016,41.5,-81.5,"Papilio polyxenes"
204.5,190.5,228,2017,41.5,-81.5,"Papilio polyxenes"
195,77,245,2018,41.5,-88.5,"Polygonia comma"
139.5,88.5,199,2017,41.5,-87.5,"Polygonia comma"
216.5,185.5,244.5,2018,41.5,-87.5,"Polygonia comma"
219,87,246,2016,39.5,-84.5,"Polygonia comma"
146,98,154,2017,39.5,-84.5,"Polygonia comma"
171,102.5,189,2017,41.5,-83.5,"Polygonia comma"
167.5,153,187,2015,41.5,-81.5,"Polygonia comma"
159.5,96,258,2016,41.5,-81.5,"Polygonia comma"
211.5,112,272,2017,41.5,-81.5,"Polygonia comma"
181,163,181,2018,41.5,-87.5,"Speyeria cybele"
186.5,176,204,2016,39.5,-84.5,"Speyeria cybele"
175,168,183,2017,39.5,-84.5,"Speyeria cybele"
188.5,173,195.5,2017,41.5,-83.5,"Speyeria cybele"
191,182,191,2015,41.5,-81.5,"Speyeria cybele"
193,184,219,2016,41.5,-81.5,"Speyeria cybele"
202.5,185,218.5,2017,41.5,-81.5,"Speyeria cybele"
174.5,162.5,205,2015,38.5,-77.5,"Speyeria cybele"
170,158,220,2016,38.5,-77.5,"Speyeria cybele"
220.5,211.5,226,2018,41.5,-88.5,"Limenitis archippus"
215,207.5,241,2017,41.5,-87.5,"Limenitis archippus"
230,212,234,2018,41.5,-87.5,"Limenitis archippus"
195.5,179.5,204,2017,41.5,-83.5,"Limenitis archippus"
221,206,237,2014,41.5,-81.5,"Limenitis archippus"
212.5,201,240,2015,41.5,-81.5,"Limenitis archippus"
239,218,253,2016,41.5,-81.5,"Limenitis archippus"
225,206,242,2017,41.5,-81.5,"Limenitis archippus"
148,119,148,2016,39.5,-84.5,"Poanes zabulon"
211,160,222,2017,39.5,-84.5,"Poanes zabulon"
218,155.5,227,2016,41.5,-81.5,"Poanes zabulon"
219,211,223,2017,41.5,-81.5,"Poanes zabulon"
176,165,208,2014,38.5,-77.5,"Poanes zabulon"
226,144,226,2015,38.5,-77.5,"Poanes zabulon"
204,142,221,2016,38.5,-77.5,"Poanes zabulon"
204.5,156,214,2017,38.5,-77.5,"Poanes zabulon"
239,198,250,2016,41.5,-87.5,"Ancyloxypha numitor"
216.5,171,224,2017,41.5,-87.5,"Ancyloxypha numitor"
221.5,184.5,223,2018,41.5,-87.5,"Ancyloxypha numitor"
192,150,197,2016,39.5,-84.5,"Ancyloxypha numitor"
202,183,225,2017,39.5,-84.5,"Ancyloxypha numitor"
206,168,214,2017,41.5,-81.5,"Ancyloxypha numitor"
203,147,246,2017,38.5,-77.5,"Ancyloxypha numitor"
157,153,153,2017,41.5,-87.5,"Megisto cymela"
183,157,190,2016,39.5,-84.5,"Megisto cymela"
181.5,157,184,2017,39.5,-84.5,"Megisto cymela"
163.5,150,177,2017,41.5,-83.5,"Megisto cymela"
155,141,161,2015,41.5,-81.5,"Megisto cymela"
155,152,166,2016,41.5,-81.5,"Megisto cymela"
156,149,160,2017,41.5,-81.5,"Megisto cymela"
209,152,233.5,2018,41.5,-88.5,"Polites peckius"
225.5,214,231,2017,41.5,-87.5,"Polites peckius"
247,232,248,2016,39.5,-84.5,"Polites peckius"
231.5,199,246,2017,39.5,-84.5,"Polites peckius"
232.5,218,239,2016,41.5,-81.5,"Polites peckius"
226,215,232.5,2017,41.5,-81.5,"Polites peckius"
204,191.5,244,2014,38.5,-77.5,"Polites peckius"
217,188,220,2018,41.5,-88.5,"Polygonia interrogationis"
209.5,179,216,2015,41.5,-87.5,"Polygonia interrogationis"
196,147,203,2017,41.5,-87.5,"Polygonia interrogationis"
205,191,209,2018,41.5,-87.5,"Polygonia interrogationis"
242.5,134,255,2016,39.5,-84.5,"Polygonia interrogationis"
175,114,175,2017,39.5,-84.5,"Polygonia interrogationis"
184,177,192,2017,41.5,-81.5,"Polygonia interrogationis"
254,190,259,2016,41.5,-87.5,"Erynnis baptisiae"
229,206,234,2017,41.5,-87.5,"Erynnis baptisiae"
235,176,243.5,2018,41.5,-87.5,"Erynnis baptisiae"
216,211,233,2016,39.5,-84.5,"Erynnis baptisiae"
207,182,223,2017,39.5,-84.5,"Erynnis baptisiae"
238,192,243,2017,41.5,-81.5,"Erynnis baptisiae"
211,177.5,218,2016,41.5,-88.5,"Limenitis arthemis astyanax"
236,199,254,2016,41.5,-87.5,"Limenitis arthemis astyanax"
217,173,224,2017,41.5,-87.5,"Limenitis arthemis astyanax"
216,208.5,223,2018,41.5,-87.5,"Limenitis arthemis astyanax"
248.5,227,251,2016,39.5,-84.5,"Limenitis arthemis astyanax"
208,190,230,2017,39.5,-84.5,"Limenitis arthemis astyanax"
178,167,183,2015,41.5,-87.5,"Vanessa virginiensis"
170,151,184,2016,41.5,-87.5,"Vanessa virginiensis"
176.5,153.5,197.5,2017,41.5,-87.5,"Vanessa virginiensis"
148.5,113,170.5,2016,39.5,-84.5,"Vanessa virginiensis"
133,104,157.5,2017,39.5,-84.5,"Vanessa virginiensis"
176,104,211,2017,38.5,-77.5,"Vanessa virginiensis"
250,231,255,2017,41.5,-93.5,"Vanessa cardui"
252,218,266,2017,41.5,-87.5,"Vanessa cardui"
261,246,273,2017,39.5,-84.5,"Vanessa cardui"
259,196,263,2017,41.5,-83.5,"Vanessa cardui"
270,268,273,2017,41.5,-81.5,"Vanessa cardui"
222.5,205.5,244.5,2015,41.5,-93.5,"Colias philodice"
227.5,208,244.5,2016,41.5,-93.5,"Colias philodice"
229.5,160.5,254,2017,41.5,-93.5,"Colias philodice"
202,191,207,2018,41.5,-93.5,"Colias philodice"
232,193,244,2016,39.5,-84.5,"Cercyonis pegala"
203,185,218,2017,39.5,-84.5,"Cercyonis pegala"
195,187,209,2017,41.5,-81.5,"Cercyonis pegala"
208,166,214,2014,38.5,-77.5,"Cupido comyntas"
230,165.5,248,2016,38.5,-77.5,"Cupido comyntas"
161.5,120,185,2017,38.5,-77.5,"Cupido comyntas"
194,153,208,2018,38.5,-90.5,"Papilio troilus"
217,201,227,2016,38.5,-77.5,"Papilio troilus"
182,138,201,2017,38.5,-77.5,"Papilio troilus"
216.5,193,255.5,2014,38.5,-77.5,"Atalopedes campestris"
237,229,241,2017,38.5,-77.5,"Atalopedes campestris"
263,251,271,2016,38.5,-77.5,"Euptoieta claudia"
231,189,272.698470856223,2017,38.5,-77.5,"Euptoieta claudia"
132,110,192,2016,38.5,-77.5,"Eurytides marcellus"
169,110,176,2017,38.5,-77.5,"Eurytides marcellus"
247.5,232.5,260.5,2016,39.5,-84.5,"Polites themistocles"
209,161,216,2017,39.5,-84.5,"Polites themistocles"
272,262,282.5,2016,39.5,-84.5,"Pyrgus communis"
224,175,246,2017,39.5,-84.5,"Pyrgus communis"
230,174,238,2018,38.5,-90.5,"Asterocampa celtis"
280,212,296.5,2017,38.5,-77.5,"Lerema accius"
221,185.5,230,2017,39.5,-84.5,"Nastra lherminier"
177,102,185.5,2015,41.5,-87.5,"Nymphalis antiopa"
223,207,230,2018,41.5,-87.5,"Papilio cresphontes"
